Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Complex data handler,Answers,_version:1,_order:23
e8267f4e-5274-48ec-976c-fcb8ffb47e7a,,Counselled by,Counselled by,Counselled by,Question,Text,,,,
c1948760-a7de-4820-aea9-7cb9cb601b08,,Postoperative Eye,Eye,Eye,Question,Text,,,,
6b0160ce-33db-4dd4-8d9f-4b342f0e717e,,Vn. un aided,Vn. un aided,Vn. un aided,Question,Text,,,,
1a8d0a31-1b73-486e-8a8e-2e02d387734f,,Vn. with PH,Vn. with PH,Vn. with PH,Question,Text,,,,
783b8ef7-8a4c-4640-a403-d6c62d739299,,Patient-related risk factors,Surgical or immediate post-operative complications,Surgical or immediate post-operative complications,Misc,N/A,,,,
0df28527-889f-48e4-af5c-529cbc59e06e,,Surgical or immediate post-operative complications,Surgical or immediate post-operative complications,Surgical or immediate post-operative complications,Misc,N/A,,,,
2644f472-ab17-4f44-ac92-0d0eaaafffe1,,Late post-operative  complications,Late post-operative  complications,Late post-operative  complications,Misc,N/A,,,,
fb3fef65-0651-4471-b591-a5df1a1b2eee,,Review by,Review by,Review by,Question,Text,,,,
d30de769-8713-4f36-aad4-8d016462c2c5,,Post operative review time,Time,Time,Question,Text,,,,
21d2ae12-969a-40d5-92b5-d80f4ad1f63b,,Clinic Intime,Clinic Intime,Clinic Intime,Question,Text,,,,
8f10750e-89e2-419c-9e8a-44e5529b5c9c,,Surgery Date,Surgery Date,Surgery Date,Question,Date,,,,
5e4df4f9-fbfe-4103-8905-0615c77514ce,,Follow up complaints,Complaints,Complaints,Question,Text,,,,
e4d27c6c-7574-4e61-b2ae-7898b3ceafc3,,Present medication,Present medication,Present medication,Question,Text,,,,
d2e138d5-c15d-4193-be6c-d991279de519,,Dilation done,Dilation done,Dilation done,Question,Coded,,Yes;No,,
4cb37493-d025-4da7-8bfa-13a418dc293b,,Dilation applied by,Dilation applied by,Dilation applied by,Question,Text,,,,
471aa592-3202-40f7-b828-443892bf0d05,,Refraction record duration,Duration,Duration,Question,Text,,,,
7820ca45-fd84-4107-be72-9dd1a1955ff2,,Type of glass,Type of glass,Type of glass,Question,Text,,,,
5d75a468-3157-46c7-8726-10f7e2b4c6db,,Refraction record lens,Lens,Lens,Question,Text,,,,
e892340c-7a7f-477c-af7c-7bade2c601a9,,Frame,Frame,Frame,Question,Text,,,,
f1ce299d-973d-484b-a35f-d177455050fb,,D BOC,D BOC,D BOC,Question,Text,,,,
afdb1229-f8a5-4949-9d73-84ef03b1de6e,,Spherical,Spherical,Spherical,Question,Text,,,,
b62ed45f-e8a6-42ca-a518-df5f23203957,,Cylinder,Cylinder,Cylinder,Question,Text,,,,
75905e76-8dc4-4f77-9654-3f7c0f290635,,Axis,Axis,Axis,Question,Text,,,,
3713e0a8-da8a-4c64-b908-74df845fb33e,,Adrenaline(Intracameral),Adrenaline,Adrenaline,Misc,N/A,,,,
f069be70-39d8-4eec-b849-b5dfdd3a9c52,,V/A with PG,V/A with PG,V/A with PG,Question,Text,,,,
8e436784-2f32-4dc6-b983-ba8a5f355fdb,,Lens Status,Lens Status,Lens Status,Question,Coded,,NS I;NS II;NS III;NS IV;PSCC;PPC;Cortical;Mature;Hypermature;Complicated;Brown;Traumatic;Penetrating;Sublaxated lens;Phacolytic;Phamarcomorphic;Aphakia;Pseudophakia;Others,,
d320ba9d-76ad-4736-adf1-a38aa245bc22,,Catataract Group,Catataract Group,Catataract Group,Question,Coded,,I;II;III,,
96c2ea69-138d-4c07-8020-1bcb3143da7b,,The patient has confirmed:,The patient has confirmed:,The patient has confirmed:,Question,Coded,,Identify(Name and address);Eye;Use of topical antibiotics;Pre-op systematic medications taken;Type of surgery and IOL;Billing details verified;A-scan verified,,
dfab3c42-7dc6-44eb-bb75-6d5de0d556ac,,Co-existing Disease,Co-existing Disease,Co-existing Disease,Question,Coded,,None;Glaucoma;Diabetic Retinopathy;Macular Degeneration;Amblyopia;Previous refractive/intraocular surgery;Others,,
46104d1c-2acd-455b-9c6b-258f21096302,,Complicating Co-morbidity,Complicating Co-morbidity,Complicating Co-morbidity,Question,Coded,,None;Small pupil(4mm or less);Pseudoexfoliation;Corneal opacity;Shallow AC;High myopia;Others,,
62fa60c9-3bbc-47ba-85a6-11edd79cfb31,,Surgeon and Nurse verbally confirm,Surgeon and Nurse verbally confirm,Surgeon and Nurse verbally confirm,Question,Coded,,Patient identify;Eye;Procedure;Lens model and power,,
0e8b8f80-7073-43e2-a6db-e3d9e2f3de72,,Eye(Surgery Record),Eye,Eye,Question,Coded,,"RE,Eye Surgery Record;
LE, Eye Surgery Record",,
83465bc8-5bd2-4b05-976c-288808e93e21,,Nurse verbally confirms with team:,Nurse verbally confirms with team:,Nurse verbally confirms with team:,Question,Coded,,Name of the procedures recorded;Any specific post op instructions,,
264def3f-e5cb-4b8b-b888-3ccc8b5be554,,Anesthesia,Anesthesia,Anesthesia,Question,Coded,,Topical;Retrobulbar;Peribulbar;Sedation;GA,,
d03d41ad-d01a-45ed-9363-9f5622a17e09,,Complications if any,Complications if any,Complications if any,Question,Coded,,IV Mannitol;Xylocaine testdose,,
8a2963ee-85bc-4880-9ac1-7a5622e10989,,Type of cataract surgery,Type of surgery,Type of surgery,Question,Coded,,ECCE;SICS;Phaco;Lens removal;Secondary IOL;Resurgery (outside operated),,
719fb560-74b1-4c23-92a2-1856bae0497d,,Cataract surgery section,Section,Section,Question,Coded,,Corneal;Limbal;Scleral,,
a7cbcd0b-2fc1-40c7-b309-779551794506,,Site,Site,Site,Question,Coded,,Superior;Temporal;LRI,,
2f7c550f-c6ba-43c6-a635-c74e7c3f4058,,IOL,IOL,IOL,Question,Coded,,In Bag;Sulcus;IF IOL;SF IOL;Nil,,
8f7dfb54-c06c-48a7-a3d2-d508519564f7,,Capsulotomy,Capsulotomy,Capsulotomy,Question,Coded,,Canopener;CCC;Envelope,,
c2bb48da-b923-459d-8efd-683a9562e024,,Intracameral (surgical),Intracameral,Intracameral,Question,Coded,,Xylocaine;Adrenaline(Intracameral);Trypanblue;Pilocarpine;Antibiotic;Triamcinolone for cataract surgery,,
77d211f9-6134-43c0-9618-a5115d8455eb,,Iridectomy,Iridectomy,Iridectomy,Question,Coded,,Nil;PI;SI;ST,,
ff743e5b-3a86-49c9-b890-ce1fc0b49d9a,,Devices,Devices,Devices,Question,Coded,,CTR;Iris hooks;Capsule hooks;Modified CTR,,
d7c927f4-806d-49ba-850f-cfa582534394,,Complications in cataract surgery,Complications,Complications,Question,Coded,,Premature Entry;Rhexis tear;PC Rent;DM detachment;Iridodialysis (>3hrs);Drop (Nucleus/ Epinucleus/IOL);Zonular Dialysis;Vitreous Disturbance;Failure to implant;IOL damage / exchange,,
28c1aa36-93df-4aaf-9b60-a65c0aa8bc41,,At which step:,At which step:,At which step:,Question,Coded,,Nucleus Delivery;Emulsification;I/A IOL Implantation,,
cf647b0b-4551-4c25-87d3-48850a97c74e,,Vitrectomy for cataract surgery,Vitrectomy,Vitrectomy,Question,Coded,,Yes;No;Automated;Weck sponge,,
d6c2b39d-3229-4282-a783-436d7fa6bf37,,Post operative Striate Keratitis,Striate Keratitis,Striate Keratitis,Question,Coded,,1+;2+;3+,,
1e5790ce-27bd-40e1-b56b-78c6a21f4a3c,,Epithelial Edema,Epithelial Edema,Epithelial Edema,Question,Coded,,1+;2+;3+,,
12083f7f-bbe1-460d-b642-042f2b73a2e8,,Post Operative Iritis,Iritis,Iritis,Question,Coded,,1+;2+;3+,,
fb33810e-4db4-450d-a5e8-8d1c2de49319,,Reason (If UCVA 6/24 and less),Reason (If UCVA 6/24 and less),Reason (If UCVA 6/24 and less),Question,Coded,,Patient-related risk factors;Surgical or immediate post-operative complications;Late post-operative  complications,,
7e6f4f60-260f-4183-aa51-3011bf9807f4,,refraction record RE,RE,RE,Question,Coded,,Spherical;Cylinder;Axis;V/A with PG,,
f57b07d6-9741-4648-910b-44ee87c55c05,,Condition of Spectacles,Condition of Spectacles,Condition of Spectacles,Question,Coded,,Good;Fair;Poor,,
21aa94f1-c2f5-4ebb-ad25-7d4f5ba96c5d,,Refraction record LE,LE,LE,Question,Coded,,Spherical;Cylinder;Axis;V/A with PG,,
192d54dd-93f7-415b-8cda-32f22bc9cb43,,RE: Add,RE: Add,RE: Add,Question,Coded,,Spherical;Cylinder;Axis;V/A with PG,,
81c7483e-93c5-4a34-ad20-013a9b6b3a15,,LE: Add,LE: Add,LE: Add,Question,Coded,,Spherical;Cylinder;Axis;V/A with PG,,
8d0720a1-0c4a-423f-851c-57609018883a,,Receiving the patient in ward time,Time,Time,Question,Text,,,1.0,265
a648c1fd-8767-4e59-9e96-a60206a6b378,,Verified patient details time,Time,Time,Question,Text,,,1.0,266
2ccfe40d-39db-4f68-8816-f7eb188c3586,,Eye cleaned time,Time,Time,Question,Text,,,1.0,267
da805a9d-108f-49a1-a96f-0697b037150d,,Verified consent form time,Time,Time,Question,Text,,,1.0,268
69ad4ee6-4feb-412f-aa1b-c9b9128b46d5,,Preoperative instruction time,Time,Time,Question,Text,,,1.0,269
46d9c407-3dfd-4d38-9845-7d87eb9c9229,,Well opposed(follow-up),Well opposed(follow-up),Well opposed(follow-up),Question,Coded,,Yes;No,1,270
ff245a76-db2c-4748-90f9-0cfd236f131a,,Iris Prolapse(follow-up),Iris Prolapse(follow-up),Iris Prolapse(follow-up),Question,Coded,,Yes;No,1,271
2a28a2ff-3351-41ca-a4b2-3153d2908a97,,Clear Cornea(follow-up),Clear(follow-up),Clear(follow-up),Question,Coded,,Yes;No,1,272
16701b0d-2a78-49c1-b2c6-6c6fee5f7fee,,Striate keratitis(follow-up),Striate keratitis(follow-up),Striate keratitis(follow-up),Question,Coded,,1+;2+;3+,1,273
0d804f49-2020-483e-b07a-036ade70a54e,,Epithelial Edema(follow-up),Epithelial Edema(follow-up),Epithelial Edema(follow-up),Question,Coded,,1+;2+;3+,1,274
8fb81b94-2cbf-4242-a477-7bad0475779a,,DM strip more than 1/3(follow-up),DM strip more than 1/3(follow-up),DM strip more than 1/3(follow-up),Question,Coded,,Yes;No,1,275
6cebc504-559d-471e-a505-d35c2089fd5d,,Normal(follow-up),Normal(follow-up),Normal(follow-up),Question,Coded,,Yes;No,1,276
8500e444-da2c-4d24-ab98-441f12874a98,,Iritis(follow-up),Iritis(follow-up),Iritis(follow-up),Question,Coded,,1+;2+;3+,1,277
f6602b87-31b7-4cda-89de-5b2d873f144d,,Minimal cortex(follow-up),Minimal cortex(follow-up),Minimal cortex(follow-up),Question,Coded,,Yes;No,1,278
d9bce10d-6f40-499d-bdb6-ecb593bf63c2,,Significant cortex/epinucleus(follow-up),Significant cortex/epinucleus(follow-up),Significant cortex/epinucleus(follow-up),Question,Coded,,Yes;No,1,279
eee8acc6-6a90-47f0-ae14-51c699e6f59d,,Fibrinous uveitis(follow-up),Fibrinous uveitis(follow-up),Fibrinous uveitis(follow-up),Question,Coded,,Yes;No,1,280
b1507a1c-5588-4d43-8e91-83027d50481d,,Uveitis with hypopyon(follow-up),Uveitis with hypopyon(follow-up),Uveitis with hypopyon(follow-up),Question,Coded,,Yes;No,1,281
743bf916-e665-4ccd-a7fc-933c3bc71fd6,,Vitreous in AC / Section(follow-up),Vitreous in AC / Section(follow-up),Vitreous in AC / Section(follow-up),Question,Coded,,Yes;No,1,282
ab0f060e-d35a-4cf3-aef7-1a3b67191434,,Round and reacting to light(follow-up),Round and reacting to light(follow-up),Round and reacting to light(follow-up),Question,Coded,,Yes;No,1,283
d621f194-be86-4f26-b7f5-ec42f33e22cb,,Irregular(follow-up),Irregular(follow-up),Irregular(follow-up),Question,Coded,,Yes;No,1,284
393d9ca6-723b-4522-a97c-8b1ea002bd53,,Iridodialysis(follow-up),Iridodialysis(follow-up),Iridodialysis(follow-up),Question,Coded,,Yes;No,1,285
532d4c3b-c9d7-4213-876a-b19b3def8298,,In bag(follow-up),In bag(follow-up),In bag(follow-up),Question,Coded,,Yes;No,1,286
1c6c3bb5-8e30-4c9b-b835-92ac33d9d17c,,In sulcus(follow-up),In sulcus(follow-up),In sulcus(follow-up),Question,Coded,,Yes;No,1,287
b6bb2f35-2113-46cb-a5ee-858f253c63a3,,Not assessable(follow-up),Not assessable(follow-up),Not assessable(follow-up),Question,Coded,,Yes;No,1,288
2717dec1-1350-4b91-b6e3-f9c2eccada23,,Decentered IOL(follow-up),Decentered IOL(follow-up),Decentered IOL(follow-up),Question,Coded,,Yes;No,1,289
9c18b0fc-5eb9-4b42-b743-c3934230c2e8,,Aphakia(follow-up),Aphakia(follow-up),Aphakia(follow-up),Question,Coded,,Yes;No,1,290
63f7b49a-1875-46d2-bf04-51e978c46857,,Clear Posterior(follow-up),Clear(follow-up),Clear(follow-up),Question,Coded,,Yes;No,1,291
536b0e71-5ee7-464c-976f-852bd0dff1b8,,Rent / ZD(follow-up),Rent / ZD(follow-up),Rent / ZD(follow-up),Question,Coded,,Yes;No,1,292
cee5d1b9-e6ab-4bcd-b80b-02dfe744474a,,Normal Fundus(follow-up),Normal Fundus(follow-up),Normal Fundus(follow-up),Question,Coded,,Yes;No,1,293
0aa4eaef-8225-4b31-b6a7-cee6c78e789f,,Pathology Fundus(follow-up),Pathology Fundus(follow-up),Pathology Fundus(follow-up),Question,Coded,,Yes;No,1,294
